emotion,count,percentage,split,sector
happiness,587,18.34,40% train / 60% test,train
neutral,517,16.16,40% train / 60% test,train
worry,489,15.28,40% train / 60% test,train
fun,463,14.47,40% train / 60% test,train
sadness,458,14.31,40% train / 60% test,train
hate,457,14.28,40% train / 60% test,train
surprise,229,7.16,40% train / 60% test,train
happiness,881,18.35,40% train / 60% test,test
neutral,775,16.15,40% train / 60% test,test
worry,733,15.27,40% train / 60% test,test
fun,694,14.46,40% train / 60% test,test
sadness,688,14.33,40% train / 60% test,test
hate,686,14.29,40% train / 60% test,test
surprise,343,7.15,40% train / 60% test,test
happiness,440,18.33,30% train / 70% test,train
neutral,388,16.17,30% train / 70% test,train
worry,366,15.25,30% train / 70% test,train
fun,347,14.46,30% train / 70% test,train
sadness,344,14.33,30% train / 70% test,train
hate,343,14.29,30% train / 70% test,train
surprise,172,7.17,30% train / 70% test,train
happiness,1028,18.36,30% train / 70% test,test
neutral,904,16.14,30% train / 70% test,test
worry,856,15.29,30% train / 70% test,test
fun,810,14.46,30% train / 70% test,test
sadness,802,14.32,30% train / 70% test,test
hate,800,14.29,30% train / 70% test,test
surprise,400,7.14,30% train / 70% test,test
happiness,294,18.38,20% train / 80% test,train
neutral,259,16.19,20% train / 80% test,train
worry,244,15.25,20% train / 80% test,train
fun,231,14.44,20% train / 80% test,train
sadness,229,14.31,20% train / 80% test,train
hate,229,14.31,20% train / 80% test,train
surprise,114,7.12,20% train / 80% test,train
happiness,1174,18.34,20% train / 80% test,test
neutral,1033,16.14,20% train / 80% test,test
worry,978,15.28,20% train / 80% test,test
fun,926,14.47,20% train / 80% test,test
sadness,917,14.33,20% train / 80% test,test
hate,914,14.28,20% train / 80% test,test
surprise,458,7.16,20% train / 80% test,test
