split,model,accuracy,macro_f1,weighted_f1
40% train / 60% test,Decision Tree,0.46479166666666666,0.4298150886292409,0.42013166125472573
40% train / 60% test,SVM,0.8783333333333333,0.8722128136055349,0.8770275889883611
40% train / 60% test,kNN,0.71125,0.7005558588175578,0.7118287363727646
40% train / 60% test,Naive Bayes,0.7589583333333333,0.7393240426798926,0.754703800922019
30% train / 70% test,Decision Tree,0.46732142857142855,0.4368333063226791,0.42728590238694014
30% train / 70% test,SVM,0.8544642857142857,0.8470717661989146,0.8524925563629111
30% train / 70% test,kNN,0.7032142857142857,0.6943863825005968,0.7051122267235006
30% train / 70% test,Naive Bayes,0.7458928571428571,0.7252037837627344,0.7401057922513028
20% train / 80% test,Decision Tree,0.45328125,0.4328527213584561,0.4190972058359793
20% train / 80% test,SVM,0.8128125,0.805945492664093,0.8087383540958574
20% train / 80% test,kNN,0.66890625,0.6596353459427367,0.6683573511981317
20% train / 80% test,Naive Bayes,0.70515625,0.6802654585313033,0.6965650011331013
